run_id,dataset,scene,role,views,seed,method,start_step,end_step,status,psnr,ssim,lpips,geometry_error,log_path
LLFF_trex_v3_s3_B,LLFF,trex,confirmatory,3,3,B,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_fern_v3_s1_SelfRender,LLFF,fern,development,3,1,SelfRender,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_fern_v3_s2_SelfRender,LLFF,fern,development,3,2,SelfRender,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_fern_v3_s3_SelfRender,LLFF,fern,development,3,3,SelfRender,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_room_v3_s1_SelfRender,LLFF,room,development,3,1,SelfRender,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_room_v3_s2_SelfRender,LLFF,room,development,3,2,SelfRender,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_room_v3_s3_SelfRender,LLFF,room,development,3,3,SelfRender,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_flower_v3_s1_SelfRender,LLFF,flower,confirmatory,3,1,SelfRender,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_flower_v3_s2_SelfRender,LLFF,flower,confirmatory,3,2,SelfRender,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_flower_v3_s3_SelfRender,LLFF,flower,confirmatory,3,3,SelfRender,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_fortress_v3_s1_SelfRender,LLFF,fortress,confirmatory,3,1,SelfRender,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_fortress_v3_s2_SelfRender,LLFF,fortress,confirmatory,3,2,SelfRender,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_fortress_v3_s3_SelfRender,LLFF,fortress,confirmatory,3,3,SelfRender,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_horns_v3_s1_SelfRender,LLFF,horns,confirmatory,3,1,SelfRender,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_horns_v3_s2_SelfRender,LLFF,horns,confirmatory,3,2,SelfRender,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_horns_v3_s3_SelfRender,LLFF,horns,confirmatory,3,3,SelfRender,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_leaves_v3_s1_SelfRender,LLFF,leaves,confirmatory,3,1,SelfRender,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_leaves_v3_s2_SelfRender,LLFF,leaves,confirmatory,3,2,SelfRender,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_leaves_v3_s3_SelfRender,LLFF,leaves,confirmatory,3,3,SelfRender,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_orchids_v3_s1_SelfRender,LLFF,orchids,confirmatory,3,1,SelfRender,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_orchids_v3_s2_SelfRender,LLFF,orchids,confirmatory,3,2,SelfRender,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_orchids_v3_s3_SelfRender,LLFF,orchids,confirmatory,3,3,SelfRender,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_trex_v3_s1_SelfRender,LLFF,trex,confirmatory,3,1,SelfRender,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_trex_v3_s2_SelfRender,LLFF,trex,confirmatory,3,2,SelfRender,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_trex_v3_s3_SelfRender,LLFF,trex,confirmatory,3,3,SelfRender,10000,12000,NR,NR,NR,NR,NR,NR
